[2024-05-07T02:01:19.460+0000] {processor.py:161} INFO - Started process (PID=10486) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-07T02:01:19.547+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-05-07T02:01:19.693+0000] {logging_mixin.py:188} INFO - [2024-05-07T02:01:19.609+0000] {dagbag.py:540} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-07T02:01:21.164+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_and_2', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_produces_2', 'dataset_produces_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-07T23:01:13.645+0000] {processor.py:161} INFO - Started process (PID=10597) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-07T23:01:13.655+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-05-07T23:01:13.698+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:13.666+0000] {dagbag.py:540} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-07T23:01:13.880+0000] {processor.py:840} INFO - DAG(s) 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_and_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_1', 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_produces_2' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-07T23:01:15.697+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.697+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-05-07T23:01:15.849+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.848+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-05-01 01:00:00+00:00, run_after=2024-05-01 01:00:00+00:00
[2024-05-07T23:01:15.889+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.888+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-05-07T23:01:15.897+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.897+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-05-07T23:01:15.906+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.905+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-05-07T23:01:15.916+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.916+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-05-07T23:01:15.930+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.930+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-05-07T23:01:15.936+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.936+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-05-07T23:01:15.944+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.944+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-05-07T23:01:15.963+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.963+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-05-06 00:00:00+00:00, run_after=2024-05-07 00:00:00+00:00
[2024-05-07T23:01:15.981+0000] {logging_mixin.py:188} INFO - [2024-05-07T23:01:15.981+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-05-07T23:01:16.289+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 2.700 seconds
