[2024-05-09T00:01:07.485+0000] {processor.py:161} INFO - Started process (PID=10882) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-09T00:01:07.491+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-05-09T00:01:07.499+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:07.497+0000] {dagbag.py:540} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-09T00:01:07.625+0000] {processor.py:840} INFO - DAG(s) 'dataset_produces_1', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1', 'dataset_consumes_1_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_unknown_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_and_2', 'dataset_produces_2', 'consume_1_or_2_with_dataset_expressions' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-09T00:01:07.938+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:07.937+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-05-09T00:01:08.097+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.096+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-05-08 01:00:00+00:00, run_after=2024-05-08 01:00:00+00:00
[2024-05-09T00:01:08.115+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.114+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-05-09T00:01:08.125+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.125+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-05-09T00:01:08.133+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.132+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-05-09T00:01:08.139+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.138+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-05-09T00:01:08.143+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.143+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-05-09T00:01:08.148+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.148+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-05-09T00:01:08.153+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.152+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-05-09T00:01:08.185+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.185+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-05-08 00:00:00+00:00, run_after=2024-05-09 00:00:00+00:00
[2024-05-09T00:01:08.190+0000] {logging_mixin.py:188} INFO - [2024-05-09T00:01:08.189+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-05-09T00:01:08.631+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 1.200 seconds
