[2024-05-10T10:06:49.291+0000] {processor.py:161} INFO - Started process (PID=113) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-10T10:06:49.396+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-05-10T10:06:49.658+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:49.605+0000] {dagbag.py:540} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-10T10:06:52.611+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_1_and_2', 'dataset_produces_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_1', 'conditional_dataset_and_time_based_timetable', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-10T10:06:56.007+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:56.004+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-05-10T10:06:58.489+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:58.468+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-05-08 01:00:00+00:00, run_after=2024-05-08 01:00:00+00:00
[2024-05-10T10:06:58.998+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:58.995+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-05-10T10:06:59.118+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:59.115+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-05-10T10:06:59.285+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:59.256+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-05-10T10:06:59.486+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:59.418+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-05-10T10:06:59.623+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:59.578+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-05-10T10:06:59.756+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:59.703+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-05-10T10:06:59.982+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:06:59.979+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-05-10T10:07:00.332+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:07:00.278+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-05-09 00:00:00+00:00, run_after=2024-05-10 00:00:00+00:00
[2024-05-10T10:07:00.403+0000] {logging_mixin.py:188} INFO - [2024-05-10T10:07:00.376+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-05-10T12:02:38.936+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 56.576 seconds
